file;Type;Atime;Btime;Arecsteps;Brecsteps
/home/team3/files/wce-students-new/1-random/r001.dimacs;random;0.6;0.62;17.0;17.0
/home/team3/files/wce-students-new/1-random/r003.dimacs;random;0.58;0.59;3.0;3.0
/home/team3/files/wce-students-new/1-random/r005.dimacs;random;0.6;0.61;3.0;3.0
/home/team3/files/wce-students-new/1-random/r007.dimacs;random;0.59;0.59;17.0;17.0
/home/team3/files/wce-students-new/1-random/r009.dimacs;random;0.6;0.58;5.0;5.0
/home/team3/files/wce-students-new/1-random/r011.dimacs;random;0.62;0.62;9.0;9.0
/home/team3/files/wce-students-new/1-random/r013.dimacs;random;0.61;0.6;1.0;1.0
/home/team3/files/wce-students-new/1-random/r015.dimacs;random;0.6;0.58;3.0;3.0
/home/team3/files/wce-students-new/1-random/r017.dimacs;random;0.61;0.62;25.0;25.0
/home/team3/files/wce-students-new/1-random/r019.dimacs;random;0.62;0.63;13.0;13.0
/home/team3/files/wce-students-new/1-random/r021.dimacs;random;0.63;0.66;15.0;15.0
/home/team3/files/wce-students-new/1-random/r023.dimacs;random;0.7;0.76;137.0;137.0
/home/team3/files/wce-students-new/1-random/r025.dimacs;random;0.66;0.66;51.0;51.0
/home/team3/files/wce-students-new/1-random/r027.dimacs;random;0.69;0.68;59.0;59.0
/home/team3/files/wce-students-new/1-random/r029.dimacs;random;0.67;0.65;9.0;9.0
/home/team3/files/wce-students-new/1-random/r031.dimacs;random;0.72;0.74;71.0;71.0
/home/team3/files/wce-students-new/1-random/r033.dimacs;random;0.73;0.75;67.0;67.0
/home/team3/files/wce-students-new/1-random/r035.dimacs;random;0.72;0.74;57.0;57.0
/home/team3/files/wce-students-new/1-random/r037.dimacs;random;0.77;0.79;75.0;75.0
/home/team3/files/wce-students-new/1-random/r039.dimacs;random;0.78;0.85;25.0;25.0
/home/team3/files/wce-students-new/1-random/r041.dimacs;random;0.8;0.91;91.0;91.0
/home/team3/files/wce-students-new/1-random/r043.dimacs;random;0.9;1.06;159.0;159.0
/home/team3/files/wce-students-new/1-random/r045.dimacs;random;0.8;0.91;69.0;69.0
/home/team3/files/wce-students-new/1-random/r047.dimacs;random;0.83;0.89;43.0;43.0
/home/team3/files/wce-students-new/1-random/r049.dimacs;random;4.65;5.72;3779.0;3779.0
/home/team3/files/wce-students-new/1-random/r051.dimacs;random;0.89;0.92;29.0;29.0
/home/team3/files/wce-students-new/1-random/r053.dimacs;random;1.08;1.28;149.0;149.0
/home/team3/files/wce-students-new/1-random/r055.dimacs;random;2.25;2.8;2109.0;2109.0
/home/team3/files/wce-students-new/1-random/r057.dimacs;random;1.32;1.4;145.0;145.0
/home/team3/files/wce-students-new/1-random/r059.dimacs;random;1.27;1.43;143.0;143.0
/home/team3/files/wce-students-new/1-random/r061.dimacs;random;1.75;1.86;205.0;205.0
/home/team3/files/wce-students-new/1-random/r063.dimacs;random;1.78;1.93;185.0;185.0
/home/team3/files/wce-students-new/1-random/r065.dimacs;random;7.3;7.71;1121.0;1121.0
/home/team3/files/wce-students-new/1-random/r067.dimacs;random;1.96;2.05;223.0;227.0
/home/team3/files/wce-students-new/2-real-world/r001.dimacs;real-world;0.63;0.61;1.0;1.0
/home/team3/files/wce-students-new/2-real-world/r003.dimacs;real-world;0.59;0.57;3.0;3.0
/home/team3/files/wce-students-new/2-real-world/r005.dimacs;real-world;0.6;0.59;1.0;1.0
/home/team3/files/wce-students-new/2-real-world/r007.dimacs;real-world;0.6;0.57;1.0;1.0
/home/team3/files/wce-students-new/2-real-world/r009.dimacs;real-world;0.6;0.59;1.0;1.0
/home/team3/files/wce-students-new/2-real-world/r011.dimacs;real-world;0.58;0.58;1.0;1.0
/home/team3/files/wce-students-new/2-real-world/r013.dimacs;real-world;0.59;0.58;1.0;1.0
/home/team3/files/wce-students-new/2-real-world/r015.dimacs;real-world;0.61;0.58;3.0;3.0
/home/team3/files/wce-students-new/2-real-world/r017.dimacs;real-world;0.58;0.61;7.0;7.0
/home/team3/files/wce-students-new/2-real-world/r019.dimacs;real-world;0.57;0.59;1.0;1.0
/home/team3/files/wce-students-new/2-real-world/r021.dimacs;real-world;0.59;0.6;9.0;9.0
/home/team3/files/wce-students-new/2-real-world/r023.dimacs;real-world;0.6;0.62;29.0;29.0
/home/team3/files/wce-students-new/2-real-world/r025.dimacs;real-world;0.59;0.61;5.0;5.0
/home/team3/files/wce-students-new/2-real-world/r027.dimacs;real-world;0.61;0.6;19.0;19.0
/home/team3/files/wce-students-new/2-real-world/r029.dimacs;real-world;0.61;0.58;11.0;11.0
/home/team3/files/wce-students-new/2-real-world/r031.dimacs;real-world;0.61;0.61;29.0;29.0
/home/team3/files/wce-students-new/2-real-world/r033.dimacs;real-world;0.6;0.6;39.0;39.0
/home/team3/files/wce-students-new/2-real-world/r035.dimacs;real-world;0.59;0.58;23.0;23.0
/home/team3/files/wce-students-new/2-real-world/r037.dimacs;real-world;0.6;0.64;53.0;53.0
/home/team3/files/wce-students-new/2-real-world/r039.dimacs;real-world;0.59;0.59;1.0;1.0
/home/team3/files/wce-students-new/2-real-world/r041.dimacs;real-world;0.59;0.57;5.0;5.0
/home/team3/files/wce-students-new/2-real-world/r043.dimacs;real-world;0.6;0.6;11.0;11.0
/home/team3/files/wce-students-new/2-real-world/r045.dimacs;real-world;0.57;0.59;1.0;1.0
/home/team3/files/wce-students-new/2-real-world/r047.dimacs;real-world;0.6;0.6;5.0;5.0
/home/team3/files/wce-students-new/2-real-world/r048.dimacs;real-world;0.59;0.58;15.0;13.0
/home/team3/files/wce-students-new/2-real-world/r049.dimacs;real-world;0.6;0.59;3.0;3.0
/home/team3/files/wce-students-new/2-real-world/r051.dimacs;real-world;0.59;0.6;7.0;7.0
/home/team3/files/wce-students-new/2-real-world/r053.dimacs;real-world;0.59;0.57;5.0;5.0
/home/team3/files/wce-students-new/2-real-world/r055.dimacs;real-world;1.06;1.18;1043.0;963.0
/home/team3/files/wce-students-new/2-real-world/r057.dimacs;real-world;0.72;0.73;37.0;37.0
/home/team3/files/wce-students-new/2-real-world/r059.dimacs;real-world;0.93;0.98;209.0;209.0
/home/team3/files/wce-students-new/2-real-world/r061.dimacs;real-world;0.98;1.11;399.0;399.0
/home/team3/files/wce-students-new/2-real-world/r063.dimacs;real-world;0.7;0.71;21.0;21.0
/home/team3/files/wce-students-new/2-real-world/r065.dimacs;real-world;0.71;0.7;47.0;47.0
/home/team3/files/wce-students-new/2-real-world/r067.dimacs;real-world;0.99;1.11;607.0;607.0
/home/team3/files/wce-students-new/2-real-world/r069.dimacs;real-world;0.72;0.68;11.0;11.0
